date,Open,High,Low,Close,Volume
2025-10-31,90.6,91.32,90.09,90.7,5959771.0
2025-10-30,91.77,91.945,90.705,90.97,5617394.0
2025-10-29,92.78,92.805,91.3801,91.73,6963908.0
2025-10-28,93.81,94.595,93.21,93.23,4279834.0
2025-10-27,93.735,94.24,93.11,94.13,5562825.0
2025-10-24,94.42,94.96,93.29,93.67,4309275.0
2025-10-23,96.15,96.24,91.87,94.21,9122220.0
2025-10-22,96.585,97.24,95.55,95.9,6652051.0
2025-10-21,95.62,96.16,95.24,95.83,4405415.0
2025-10-20,96.09,96.6,94.9303,95.92,5137888.0
2025-10-17,95.28,95.81,94.9,95.78,6136039.0
2025-10-16,95.2,95.97,94.7,95.04,4802755.0
2025-10-15,96.07,96.86,94.06,95.34,7246922.0
2025-10-14,95.26,96.6,95.26,96.54,4863007.0
2025-10-13,95.7,96.405,95.06,95.58,4619902.0
2025-10-10,96.68,97.045,95.3,95.45,6829767.0
2025-10-09,98.19,98.235,95.96,96.5,6207278.0
2025-10-08,98.57,98.68,96.77,97.87,7470103.0
2025-10-07,98.33,99.37,97.9,98.33,5894117.0
2025-10-06,97.635,98.66,97.63,98.43,8134730.0
2025-10-03,95.67,97.94,95.38,97.7,8573349.0
2025-10-02,94.41,95.74,93.98,95.48,6212680.0
2025-10-01,95.15,95.73,91.865,94.81,10343766.0
2025-09-30,93.9,95.385,93.805,95.24,7119027.0
2025-09-29,94.21,94.325,93.29,93.97,5452013.0
2025-09-26,93.85,94.73,93.48,94.22,5042833.0
2025-09-25,95.27,95.63,92.72,94.3,7560775.0
2025-09-24,94.85,95.985,94.8,95.74,11265276.0
2025-09-23,94.52,95.6565,94.165,94.96,7101065.0
2025-09-22,95.39,95.5,94.3,94.62,7581703.0
2025-09-19,95.91,95.91,94.075,95.08,15677037.0
2025-09-18,94.49,95.64,93.815,95.59,9364631.0
2025-09-17,94.42,95.12,93.8075,94.58,8145826.0
2025-09-16,93.27,95.54,93.27,94.19,7722422.0
2025-09-15,94.6,94.93,93.22,93.43,5716301.0
2025-09-12,93.96,95.29,93.51,94.03,7334440.0
2025-09-11,92.31,94.27,92.25,94.25,6957857.0
2025-09-10,94.25,94.3,91.59,92.32,5625566.0
2025-09-09,92.835,94.31,92.73,94.07,7038706.0
2025-09-08,92.16,93.0,91.385,92.99,5024124.0
2025-09-05,93.14,93.94,92.52,92.9,4856952.0
2025-09-04,92.26,94.35,91.79,92.85,6641476.0
2025-09-03,93.15,93.56,91.42,92.25,5351801.0
2025-09-02,92.54,93.8343,92.405,93.33,7150345.0
2025-08-29,92.05,92.82,91.96,92.81,5174580.0
2025-08-28,92.1,92.1,91.33,91.96,5626571.0
2025-08-27,92.04,92.18,91.33,92.05,4223306.0
2025-08-26,92.43,92.5,91.86,92.18,6251652.0
2025-08-25,92.74,93.05,91.92,92.04,5106523.0
2025-08-22,91.68,92.96,91.68,92.71,4876003.0
2025-08-21,93.315,93.79,91.025,91.1,6808601.0
2025-08-20,90.355,94.44,90.29,93.22,13227390.0
2025-08-19,87.835,90.15,87.5,89.9,19583908.0
2025-08-18,92.77,93.32,92.51,92.81,11581758.0
2025-08-15,92.52,93.18,92.0227,93.02,6641183.0
2025-08-14,92.85,92.91,91.72,91.98,6873526.0
2025-08-13,92.0,93.1558,91.66,92.91,6596944.0
2025-08-12,92.84,93.12,91.45,92.08,5445260.0
2025-08-11,92.85,93.28,92.35,92.74,6782958.0
2025-08-08,91.205,92.96,91.2,92.88,6637029.0
2025-08-07,89.99,91.73,89.725,91.24,8206997.0
2025-08-06,89.68,90.0,88.96,89.36,5545019.0
2025-08-05,90.14,90.2,89.29,89.67,5596977.0
2025-08-04,89.45,90.115,88.25,89.64,8078844.0
2025-08-01,89.61,89.96,88.69,89.34,6658193.0
2025-07-31,91.425,91.69,90.145,90.24,8310198.0
2025-07-30,92.26,92.38,91.22,91.64,5424024.0
2025-07-29,91.815,92.71,91.75,92.44,4676829.0
2025-07-28,92.72,92.75,91.87,91.97,4311524.0
2025-07-25,91.965,93.1,91.93,92.94,5376597.0
2025-07-24,92.04,92.5,91.32,92.32,6684945.0
2025-07-23,91.85,92.77,90.89,92.01,7818824.0
2025-07-22,89.97,91.92,89.805,91.65,7457148.0
2025-07-21,89.43,90.455,89.18,89.7,6016191.0
2025-07-18,89.98,90.5208,89.305,89.61,6413567.0
2025-07-17,89.535,89.69,88.35,89.53,6952025.0
2025-07-16,89.59,89.92,89.02,89.78,5173559.0
2025-07-15,89.7,90.12,88.41,89.22,8617505.0
2025-07-14,89.75,90.239,88.98,89.73,8911898.0
2025-07-11,91.77,91.85,89.065,89.92,12259488.0
2025-07-10,89.23,90.485,88.5,89.4,7962916.0
2025-07-09,88.83,89.145,87.98,89.0,4673255.0
2025-07-08,87.56,89.04,87.305,88.58,5403110.0
2025-07-07,88.49,88.645,87.32,87.67,7218269.0
2025-07-03,88.37,88.7012,88.06,88.39,2989470.0
2025-07-02,88.82,89.17,88.025,88.28,8663002.0
2025-07-01,86.83,88.75,86.71,88.75,10089402.0
2025-06-30,86.65,87.41,86.18,87.17,8205656.0
2025-06-27,85.5,86.52,85.22,86.02,10134011.0
2025-06-26,85.89,86.68,85.5,86.18,11117679.0
2025-06-25,85.86,86.425,85.44,85.97,8461705.0
2025-06-24,85.82,86.39,84.94,86.08,11144175.0
2025-06-23,86.24,86.34,84.58,85.96,6747004.0
2025-06-20,86.14,86.425,85.73,86.34,13089624.0
2025-06-18,86.31,86.4,85.41,85.73,8514790.0
2025-06-17,88.105,88.135,85.96,86.17,6939254.0
2025-06-16,88.21,88.77,87.58,87.92,8414689.0
2025-06-13,88.21,88.63,87.075,87.27,6011709.0
2025-06-12,88.03,88.53,87.65,88.49,5855307.0
2025-06-11,87.93,88.465,87.76,88.06,4643328.0
