date,Open,High,Low,Close,Volume
2025-10-31,145.31,145.54,143.17,144.33,6200287.0
2025-10-30,146.78,147.43,145.04,145.76,5747924.0
2025-10-29,149.24,150.14,146.39,146.77,7637094.0
2025-10-28,153.0,153.08,148.14,149.81,7725465.0
2025-10-27,156.84,156.855,152.93,153.21,10233700.0
2025-10-24,158.08,158.62,157.38,157.62,6303796.0
2025-10-23,157.94,159.11,156.35,157.7,8147392.0
2025-10-22,151.87,156.96,151.0,156.86,12741403.0
2025-10-21,154.67,155.925,142.33,152.0,28418144.0
2025-10-20,158.16,160.7,157.18,158.06,7779225.0
2025-10-17,157.03,158.975,156.87,158.06,5371888.0
2025-10-16,158.69,158.69,155.68,155.98,5110016.0
2025-10-15,157.84,159.9485,157.45,157.73,4683588.0
2025-10-14,158.425,161.15,157.94,159.07,6199221.0
2025-10-13,158.5,159.53,156.61,159.47,5684527.0
2025-10-10,157.37,161.54,156.96,160.47,6542779.0
2025-10-09,155.28,156.88,153.505,156.85,4455569.0
2025-10-08,154.46,155.34,152.17,155.27,6368526.0
2025-10-07,153.5,155.14,152.31,154.55,6789297.0
2025-10-06,152.14,153.65,150.88,153.54,7071707.0
2025-10-03,155.8,156.4,151.15,153.27,11151497.0
2025-10-02,160.54,162.125,157.56,157.91,6929975.0
2025-10-01,162.87,164.06,158.45,160.86,8633674.0
2025-09-30,162.9,163.6,161.69,162.2,6401189.0
2025-09-29,164.53,164.99,162.5,162.99,6954139.0
2025-09-26,164.65,164.97,163.0,164.89,3736176.0
2025-09-25,164.44,165.26,163.32,164.0,4295568.0
2025-09-24,163.54,164.82,162.76,163.0,6373388.0
2025-09-23,161.87,164.17,161.01,163.77,4622158.0
2025-09-22,162.18,163.46,159.91,161.98,5735309.0
2025-09-19,162.42,163.795,161.33,162.95,10489017.0
2025-09-18,163.99,164.72,161.12,161.76,6547651.0
2025-09-17,163.79,167.08,163.34,166.3,5591208.0
2025-09-16,162.03,164.37,161.43,162.96,6281426.0
2025-09-15,165.505,165.505,161.47,161.64,5584124.0
2025-09-12,167.32,168.795,165.1,166.11,3691499.0
2025-09-11,165.9,169.86,165.195,167.9,4800320.0
2025-09-10,164.78,165.83,164.02,165.31,3979495.0
2025-09-09,162.13,165.04,161.1,164.74,3845791.0
2025-09-08,161.66,162.79,159.57,162.72,6056133.0
2025-09-05,161.47,162.06,160.07,161.55,4056764.0
2025-09-04,162.16,164.5,159.7873,161.15,7839526.0
2025-09-03,165.7,166.9,161.156,163.22,7260833.0
2025-09-02,166.57,168.04,163.38,167.4,6013482.0
2025-08-29,166.41,167.29,165.17,167.13,5358271.0
2025-08-28,164.055,166.27,161.96,165.77,7297930.0
2025-08-27,165.9,166.02,163.93,164.19,5164378.0
2025-08-26,167.34,167.58,165.5268,166.68,5855005.0
2025-08-25,171.76,171.94,166.83,167.37,4872841.0
2025-08-22,174.77,175.23,170.05,171.75,4761077.0
2025-08-21,173.0,174.88,172.75,174.49,4397952.0
2025-08-20,170.0,173.17,169.2143,172.85,5089210.0
2025-08-19,166.35,169.09,166.3,168.77,4114096.0
2025-08-18,165.94,167.295,165.38,166.6,3769710.0
2025-08-15,165.26,166.815,164.19,166.19,4027696.0
2025-08-14,165.77,167.35,164.64,165.27,3295191.0
2025-08-13,168.32,168.35,164.56,165.88,5021270.0
2025-08-12,170.28,171.0,167.78,168.6,5444310.0
2025-08-11,170.7,171.22,166.39,170.32,5350023.0
2025-08-08,168.09,170.8,167.97,170.18,3774417.0
2025-08-07,166.94,168.55,166.1,168.17,3475946.0
2025-08-06,165.05,168.37,164.26,166.99,5915505.0
2025-08-05,162.91,165.1138,162.7201,164.14,4643336.0
2025-08-04,163.69,164.71,162.34,162.99,5187648.0
2025-08-01,165.35,167.93,162.89,162.96,7554064.0
2025-07-31,161.79,165.07,161.0712,164.05,10607179.0
2025-07-30,162.47,164.5,162.06,162.17,7778721.0
2025-07-29,158.47,162.855,157.83,162.75,9429109.0
2025-07-28,159.6,160.6,155.7,157.77,8676890.0
2025-07-25,161.36,163.05,160.73,160.92,4544616.0
2025-07-24,164.935,164.935,160.52,161.08,7238997.0
2025-07-23,163.0,165.45,161.24,164.67,9895122.0
2025-07-22,169.615,170.2,162.74,165.27,19831815.0
2025-07-21,178.0,181.31,177.54,180.48,5126696.0
2025-07-18,179.47,179.65,178.11,178.73,4650547.0
2025-07-17,183.03,183.32,178.155,179.17,6941389.0
2025-07-16,180.83,183.99,179.25,183.27,5382592.0
2025-07-15,180.56,181.38,179.29,180.92,4323794.0
2025-07-14,181.0,181.4999,179.4,180.75,5598598.0
2025-07-11,179.96,180.22,178.09,179.91,3430706.0
2025-07-10,178.4,181.14,176.95,180.99,5212310.0
2025-07-09,179.57,179.6,176.3,177.98,3821291.0
2025-07-08,179.91,181.0,177.15,177.72,4177748.0
2025-07-07,179.36,181.47,178.235,181.2,4653668.0
2025-07-03,175.95,178.88,175.3,178.88,2734143.0
2025-07-02,176.35,178.12,175.13,175.91,5572576.0
2025-07-01,182.74,183.83,176.35,177.53,5176668.0
2025-06-30,181.0,182.47,180.03,182.13,5254132.0
2025-06-27,178.82,181.3,178.2,181.03,7053309.0
2025-06-26,180.85,181.19,179.33,180.66,5847492.0
2025-06-25,183.31,183.7,179.18,179.6,5112988.0
2025-06-24,184.57,184.97,183.7,184.49,3184324.0
2025-06-23,183.57,185.4659,183.3,184.95,4308734.0
2025-06-20,182.22,183.5,181.71,183.29,10765214.0
2025-06-18,183.82,184.595,182.34,182.61,6063488.0
2025-06-17,182.62,184.54,181.63,183.46,7428021.0
2025-06-16,183.91,186.69,181.56,183.29,5187964.0
2025-06-13,184.02,185.16,183.26,184.33,5505836.0
2025-06-12,183.82,184.1,181.63,184.1,5621338.0
2025-06-11,179.11,183.42,178.6,183.37,3947251.0
